Id_Restaurante,Id_review,Review,Restaurante,Votaciones,Valoracion,Dirección
1,1,todo exquisito las recomendaciones de manuel todo un acierto además de un trato impecable las croquetas de cecina estaban estupendas muy recomendadas volveremos seguro,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
1,2,quiero destacar el servicio excepcional de manuel y alex desde que llegamos estuvieron pendientes sin resultar invasivos recomendaron platos con mucho acierto y mantuvieron siempre una actitud amable y profesional gracias a ellos la experiencia fue aún mejor muy recomendables,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
1,3,una experiencia increíble la comida y el ambiente te trasladan a la misma galicia el cuidado y la atención a los detalles por parte de manuel nos ha hecho sentir como en casa volvemos,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
1,4,comida espectacular en platos de un nivel exquisito servicio con clase y precio algo alto pero al saborearlo se olvida todo creo que todo es recomendable en la carta creo que es difícil elegir solo una cosa de lo que probamos croquetas de cecina pulpo y lomo bajo top,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
1,5,excelente experiencia la comida súper rica nos ha atendido manuel súper amable y muy servicial todo lo que nos ha recomendado estaba buenísimo un,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
1,6,magnífica comida desde todo punto de vista lo mejor hoy fue el carpaccio de ventresca de atun realmente espectacular y la tapa de callos de esas que nunca de encuetran gelatina pura hay que preguntar por manuel siempre recomienda lo mejor y nos ha dicho que la próxima vez lasaña de merluza gracias,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
1,7,una experiencia excepcional la comida está riquísima recomiendo lomo bajo costillas y de postre la torrijas más buena de españa nos atendió manuel un señor encantador pendiente de todo y con mucho mimo y cuidado un lugar encantador y acogedor,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
1,8,un para un restaurante que teníamos muchas ganas de conocer un magnífico pulpo a la gallega timbal de changurro rico rico navajas a la plancha espectaculares y un lomo de vaca único nos han permitido celebrar un cumpleaños de sobresaliente gracias a la amabilidad y atentísimo servicio de manuel y el saber hacer de pedro explicándonos como eligen la excelencia en la calidad pensando en el cliente sobresaliente tirando a matrícula de honor volveremos,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
1,9,increible la calidad de los platos producto muy fresco y buenísimo recomendable nuestro camarero manuel estubo muy atento en todo momento gran profesional gracias,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
1,10,desde hace años vengo a cenar a este lugar siempre la calidad y atención de primer nivel recomendable al el menú degustación hay que conocerlo llegar con hambre y con tiempo samy nuestro anfitrión con calificación de siempre,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
1,11,me gustó mucho el restaurante combina a la perfección una atmósfera acogedora y elegante con una decoración que invita a quedarse el servicio es muy atento y amable anthony gran profesional conoce bien la carta y sabe aconsejar,Los Montes de Galicia,13670,4.8,"Calle Azcona, 46"
